Product,Price,Rating,Reviews,Link
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Win11 Home) AL15-41, 39.62 cm (15.6"") FHD Display, Metal Body, Multicolor Backlit Keyboard, Steel Gray, 1.59 KG","₹34,490",3.0,10,https://www.amazon.in/Acer-5-5625U-AL15-41-Multicolor-Keyboard/dp/B0DG2LSP9N/ref=sr_1_10?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-10
"Acer Aspire 3 Intel Core i3-1305U Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (8 GB RAM/512 GB SSD/WiFi 6/Intel Graphics/Win11 Home/65W) A324-53, Steel Gray, 1.45KG","₹31,988",4.0,85,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQwMzQ2NTIyOTk3Mjc0OjE3NDMxMDA1MDY6c3BfbXRmOjMwMDQzNzkzMDYzNDUzMjo6MDo6&url=%2FAcer-i3-1305U-Processor-LED-Backlit-A324-53%2Fdp%2FB0DMFBQ9MY%2Fref%3Dsr_1_11_sspa%3Fcrid%3DW4U3VV61SVAS%26dib%3DeyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1743100506%26sprefix%3Dlaptop%252Caps%252C274%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i3-1215U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Intel UHD Graphics/Windows 11/Office Home 2024/1Yr ADP Free/Arctic Grey/1.63Kg), 82RK01ABIN","₹35,200",3.3,16,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzQwMzQ2NTIyOTk3Mjc0OjE3NDMxMDA1MDY6c3BfbXRmOjMwMDE1NjY0MTA3NDQzMjo6MDo6&url=%2FLenovo-IdeaPad-39-62cm-Warranty-82RK006DIN%2Fdp%2FB0B4JPC8GT%2Fref%3Dsr_1_12_sspa%3Fcrid%3DW4U3VV61SVAS%26dib%3DeyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1743100506%26sprefix%3Dlaptop%252Caps%252C274%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Lenovo V15 Intel Core i7 12th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1Y Onsite/1.7 kg), 82TTA08AIN","₹48,490",3.0,345,https://www.amazon.in/Lenovo-1920x1080-Antiglare-Windows-82TTA08AIN/dp/B0CJTRM3QW/ref=sr_1_13?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-13
"ASUS Vivobook 16, Intel Core i5-12500H, 16GB RAM, 512GB SSD, FHD+ 60Hz 300Nits, 16"", Windows 11, MS Office Home, Transparent Silver, 1.88KG, X1605ZAC-MB541WS, Fingerprint, 42Whr Battery Laptop","₹53,990",3.9,486,https://www.amazon.in/ASUS-i5-12500H-Fingerprint-Transparent-X1605ZAC-MB541WS/dp/B0DGLCTZXX/ref=sr_1_14?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-14
"HP 255 G10 AMD Ryzen 5 Quad Core 7520U 2.8Ghz Upto 4.3Ghz - (8 GB/512 GB SSD) 255 G10 Thin and Light Laptop (15.6 inch, Matt Silver, 1.45 kg)","₹29,928",4.7,4,https://www.amazon.in/HP-Ryzen-7520U-2-8Ghz-4-3Ghz/dp/B0DS8Y725N/ref=sr_1_15?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-15
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue","₹12,990",3.0,20,https://www.amazon.in/JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=sr_1_16?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-16
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H 12th Gen, 16GB RAM, 512GB SSD, FHD 250Nits, 14""/35.5cm, Windows 11, MSOffice 21, Grey, 1.37Kg, 83EQ005VIN,1Yr Warranty,Alexa Built-in,3 mon. GamePass Laptop","₹52,390",4.0,"1,109",https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Warranty-83EQ005VIN/dp/B0D6MPVN7B/ref=sr_1_17?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-17
"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1315U - (8GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" (39.62cm)/Ash Grey/1.57 kg","₹31,460",3.9,"1,064",https://www.amazon.in/HP-Laptop-250R-Intel-1315U/dp/B0DKGBYGKQ/ref=sr_1_18?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-18
"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue","₹17,990",3.3,3,https://www.amazon.in/Acer-Celeron-Windows-Laptop-Z8-284/dp/B0CHRNQBCR/ref=sr_1_19?crid=W4U3VV61SVAS&dib=eyJ2IjoiMSJ9.sha9-Imp0QKJjf0WDiQpCqcJEckxdidl6rqjzt9VGdD6PNcsrmPNbP0eIcNRqLtlrdn1AIJSTzizEo-xyRuuBg-QdTrBfP3t0J1KxCeyaHJjIIilZufZdBKZDApsgX4d97VopNwc_kJfM6xcTBhOkwbZKim8LIR7cO-JrU80ZSj3swsfo0I32ZnbIeVSubAaXXGZZ19QZN9lhx0Dr5uKt00cQaW_LEc4msf50tA5FKE.oKm2VI_ZeJU2ukJM-WgsWj6xEIrFBhGwwjdprFbPUzk&dib_tag=se&keywords=laptop&qid=1743100506&sprefix=laptop%2Caps%2C274&sr=8-19
